HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
9601,Worked corals other than articles of coral,5%,,15/11/2017                22/09/2017,
9601,"WORKED IVORY, BONE, TORTOISE-SHELL, HORN, ANTLERS, CORAL, MOTHER-OF-PEARL AND OTHER ANIMAL CARVING MATERIAL, AND ARTICLES OF THESE MATERIALS (INCLUDING ARTICLES OBTAINED BY MOULDING)",12%,,15/11/2017           22/09/2017,
96011000,"WORKED IVORY, BONE, TORTOISE-SHELL, HORN, ANTLERS, CORAL, MOTHER-OF-PEARL AND OTHER ANIMAL CARVING MATERIAL, AND ARTICLES OF THESE MATERIALS (INCLUDING ARTICLES OBTAINED BY MOULDING) WORKED IVORY AND ARTICLES OF IVORY",12%,,15/11/2017           22/09/2017,
960190,OTHER,12%,,15/11/2017           22/09/2017,
96019010,"WORKED IVORY, BONE, TORTOISE-SHELL, HORN, ANTLERS, CORAL, MOTHER-OF-PEARL AND OTHER ANIMAL CARVING MATERIAL, AND ARTICLES OF THESE MATERIALS (INCLUDING ARTICLES OBTAINED BY MOULDING) - OTHER : WORKED TORTOISE-SHELL AND ARTICLES THEREOF",12%,,15/11/2017           22/09/2017,
96019020,"WORKED IVORY, BONE, TORTOISE-SHELL, HORN, ANTLERS, CORAL, MOTHER-OF-PEARL AND OTHER ANIMAL CARVING MATERIAL, AND ARTICLES OF THESE MATERIALS (INCLUDING ARTICLES OBTAINED BY MOULDING) - OTHER : WORKED MOTHER-OF-PEARL AND ARTICLES THEREOF",12%,,15/11/2017           22/09/2017,
96019030,"WORKED IVORY, BONE, TORTOISE-SHELL, HORN, ANTLERS, CORAL, MOTHER-OF-PEARL AND OTHER ANIMAL CARVING MATERIAL, AND ARTICLES OF THESE MATERIALS (INCLUDING ARTICLES OBTAINED BY MOULDING) - OTHER : WORKED BONE (EXCLUDING WHALE BONE) AND ARTICLES THEREOF",12%,,15/11/2017           22/09/2017,
96019040,"WORKED IVORY, BONE, TORTOISE-SHELL, HORN, ANTLERS, CORAL, MOTHER-OF-PEARL AND OTHER ANIMAL CARVING MATERIAL, AND ARTICLES OF THESE MATERIALS (INCLUDING ARTICLES OBTAINED BY MOULDING) - OTHER : WORKED HORN, CORAL AND OTHER ANIMAL CARVING MATERIAL AND ARTIC",12%,,15/11/2017           22/09/2017,
96019090,"WORKED IVORY, BONE, TORTOISE-SHELL, HORN, ANTLERS, CORAL, MOTHER-OF-PEARL AND OTHER ANIMAL CARVING MATERIAL, AND ARTICLES OF THESE MATERIALS (INCLUDING ARTICLES OBTAINED BY MOULDING) - OTHER : OTHER",12%,,15/11/2017           22/09/2017,
9602,"WORKED VEGETABLE OR MINERAL CARVING MATERIAL AND ARTICLES OF THESE MATERIALS MOULDED OR CARVED ARTICLES OF WAX, OF STEARIN, OF NATURAL GUMS OR NATURAL RESINS OR OF MODELLING PASTES, AND OTHER MOULDED OR CARVED ARTICLES, NOT ELSEWHERE SPECIFIED OR INCLUDED",18%,,15/11/2017                                -                                    1/07/2017,
